v0,k,theta,rho,eta
0.007868037,0.748707525,0.012414527,-0.531839652,0.416516003
0.003359589,0.798190145,0.004993198,-0.500295657,0.308758776
0.003652489,0.796459014,0.005506847,-0.500595209,0.316875153
0.004141288,0.794903773,0.0063489,-0.500894107,0.323877984
0.004657489,0.793043195,0.007250068,-0.501297003,0.331930846
0.005108171,0.786398206,0.008071714,-0.502987116,0.359233671
0.004171219,0.795182436,0.04836944,-0.496634643,0.318088078
0.004820476,0.788656546,0.038934171,-0.49963962,0.343380846
0.005048491,0.78250558,0.03359965,-0.502089062,0.36433985
0.005276506,0.776327754,0.029343301,-0.504615165,0.383227794
0.005504521,0.761921778,0.024712827,-0.510176951,0.418714262
0.005732536,0.741887317,0.180467121,-0.504292934,0.428713245
0.005960551,0.722131032,0.011837414,-0.530719682,0.437820203
0.006188566,0.868822226,0.035637886,-0.557703262,0.363499441
0.005328586,0.889450821,0.008890685,-0.603625144,0.337519353
0.006644595,0.890675197,0.007587276,-0.427129102,0.428535312
0.005960551,0.875410765,0.009678057,-0.512191651,0.413935676
0.00687261,0.826195133,0.008390176,-0.508905824,0.459233671
0.007476982,0.746390855,0.01179525,-0.528094321,0.439168848
0.007981475,0.740893744,0.012578018,-0.535627324,0.433954176
0.007868037,0.748707525,0.012414527,-0.531839652,0.416516003
0.007316202,0.763269804,0.011663736,-0.521325502,0.383095238
