v0,k,theta,rho,eta,,,,,,,,
0.002806138,0.899927393,0.046731814,-0.600007348,0.300324661,,,,,,,,
0.003163329,0.899467187,0.026089981,-0.600066408,0.302448283,,,,,,,,
0.003469586,0.898960448,0.005190148,-0.600153433,0.30474081,,,,,,,,
0.004171219,0.898519298,0.006406502,-0.600254378,0.306678284,,,,,,,,
0.004820476,0.897983478,0.007525222,-0.600396439,0.30894217,,,,,,,,
0.005048491,0.896076353,0.008051284,-0.600933589,0.316701119,,,,,,,,
0.00172149,0.897335823,0.037719539,-0.598713263,0.308329943,,,,,,,,
0.002283325,0.894889549,0.026390299,-0.600269651,0.318680448,,,,,,,,
0.001,0.893963998,0.028443271,-0.600561989,0.321334588,,,,,,,,
0.005328586,0.889450821,0.008890685,-0.603625144,0.337519353,,,,,,,,
0.001,0.88796296,0.020653665,-0.603213185,0.338060345,,,,,,,,
0.001,0.884474803,0.017393633,-0.604887547,0.345275802,,,,,,,,
0.001,0.880646403,0.015211718,-0.607106886,0.352032968,,,,,,,,
0.005658672,0.875410765,0.009678057,-0.612191651,0.363499441,,,,,,,,
0.001,0.868251484,0.001,-0.61589678,0.38044231,,,,,,,,
0.006582515,0.884646865,0.010336809,-0.608905824,0.339168848,,,,,,,,
0.008535769,0.886140902,0.01463963,-0.608654764,0.335388877,,,,,,,,
0.006433873,0.892614263,0.010173865,-0.604272163,0.31880246,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,0.007316202,0.763269804,0.011663736,-0.521325502,0.383095238
