v0,k,theta,rho,eta
0.00449306,0.725873957,0.007412606,-0.092602075,0.360048654
0.003965319,0.770329749,0.002966897,-0.097083966,0.360521032
0.004562741,0.764301848,0.003569437,-0.096506349,0.360753497
0.005427822,0.755705151,0.004428975,-0.095652633,0.360686947
0.005825821,0.751730946,0.004826289,-0.095196993,0.360597446
0.006057824,0.749324436,0.005066023,-0.095072073,0.36076905
0.006351575,0.746129717,0.005385034,-0.094782411,0.360704201
0.006496274,0.744426773,0.005554929,-0.094636336,0.360661249
0.006597526,0.743211022,0.005676762,-0.094531646,0.360511308
0.006753598,0.741435913,0.005854504,-0.094360034,0.360411747
0.006072426,0.799987598,0.006214407,-0.094010277,0.360232303
0.00635088,0.799992168,0.006504701,-0.093713475,0.360135838
0.006875384,0.799996818,0.006978194,-0.09315696,0.360052871
0.007112236,0.799998187,0.007203004,-0.092905893,0.360026754
0.007328355,0.800002818,0.007429334,-0.092654296,0.359997627
0.008169677,0.800000824,0.008285805,-0.091713938,0.359997423
0.008211207,0.800001654,0.008480939,-0.091518532,0.359995183
0.008922348,0.800018679,0.008755794,-0.089944708,0.359951963
